timestap;event;symbol;period;magic;bid;ask;spread;ticket;op;lots;price;sl;tp;slip;result;error;floating_pl;closed_pl_today;vwap;basket_tp;note
2025.07.23 18:45:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17333;1.17335;2;807;0;0.01;1.17335;0.00000;1.17365;0;0;0;-0.04;17.71;;;
2025.07.23 18:45:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17333;1.17335;2;807;0;0.01;1.17335;0.00000;1.17365;0;1;0;-0.04;17.71;;;
2025.07.23 18:50:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17309;1.17311;2;0;0;0.01;1.17311;0.00000;0.00000;5;0;0;-0.28;17.71;;;EURUSD-Euro Scalper-1
2025.07.23 18:50:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17309;1.17311;2;808;0;0.01;1.17311;0.00000;0.00000;5;1;0;-0.32;17.71;;;EURUSD-Euro Scalper-1
2025.07.23 18:50:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17309;1.17311;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.32;17.71;;;vwap=1.17323; basket_tp=1.17353
2025.07.23 18:50:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17309;1.17311;2;808;0;0.01;1.17323;0.00000;1.17353;0;0;0;-0.32;17.71;;;
2025.07.23 18:50:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17309;1.17311;2;808;0;0.01;1.17323;0.00000;1.17353;0;1;0;-0.32;17.71;;;
2025.07.23 18:50:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17309;1.17311;2;807;0;0.01;1.17323;0.00000;1.17353;0;0;0;-0.32;17.71;;;
2025.07.23 18:50:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17309;1.17311;2;807;0;0.01;1.17323;0.00000;1.17353;0;1;0;-0.32;17.71;;;
2025.07.23 18:55:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17364;1.17366;2;0;0;0.01;1.17366;0.00000;0.00000;5;0;0;0.00;18.27;;;EURUSD-Euro Scalper-0
2025.07.23 18:55:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17364;1.17366;2;809;0;0.01;1.17366;0.00000;0.00000;5;1;0;-0.04;18.27;;;EURUSD-Euro Scalper-0
2025.07.23 18:55:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17364;1.17366;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.04;18.27;;;vwap=1.17366; basket_tp=1.17396
2025.07.23 18:55:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17364;1.17366;2;809;0;0.01;1.17366;0.00000;1.17396;0;0;0;-0.04;18.27;;;
2025.07.23 18:55:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17364;1.17366;2;809;0;0.01;1.17366;0.00000;1.17396;0;1;0;-0.04;18.27;;;
2025.07.23 19:00:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17331;1.17333;2;0;0;0.01;1.17333;0.00000;0.00000;5;0;0;-0.37;18.27;;;EURUSD-Euro Scalper-1
2025.07.23 19:00:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17331;1.17333;2;810;0;0.01;1.17333;0.00000;0.00000;5;1;0;-0.41;18.27;;;EURUSD-Euro Scalper-1
2025.07.23 19:00:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17331;1.17333;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.41;18.27;;;vwap=1.17350; basket_tp=1.17380
2025.07.23 19:00:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17331;1.17333;2;810;0;0.01;1.17350;0.00000;1.17380;0;0;0;-0.41;18.27;;;
2025.07.23 19:00:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17331;1.17333;2;810;0;0.01;1.17350;0.00000;1.17380;0;1;0;-0.41;18.27;;;
2025.07.23 19:00:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17331;1.17333;2;809;0;0.01;1.17350;0.00000;1.17380;0;0;0;-0.41;18.27;;;
2025.07.23 19:00:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17331;1.17333;2;809;0;0.01;1.17350;0.00000;1.17380;0;1;0;-0.41;18.27;;;
2025.07.23 19:05:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17304;1.17306;2;0;0;0.01;1.17306;0.00000;0.00000;5;0;0;-0.95;18.27;;;EURUSD-Euro Scalper-2
2025.07.23 19:05:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17304;1.17306;2;811;0;0.01;1.17306;0.00000;0.00000;5;1;0;-0.99;18.27;;;EURUSD-Euro Scalper-2
2025.07.23 19:05:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17304;1.17306;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.99;18.27;;;vwap=1.17335; basket_tp=1.17365
2025.07.23 19:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17304;1.17306;2;811;0;0.01;1.17335;0.00000;1.17365;0;0;0;-0.99;18.27;;;
2025.07.23 19:05:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17304;1.17306;2;811;0;0.01;1.17335;0.00000;1.17365;0;1;0;-0.99;18.27;;;
2025.07.23 19:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17304;1.17306;2;810;0;0.01;1.17335;0.00000;1.17365;0;0;0;-0.99;18.27;;;
2025.07.23 19:05:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17304;1.17306;2;810;0;0.01;1.17335;0.00000;1.17365;0;1;0;-0.99;18.27;;;
2025.07.23 19:05:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17304;1.17306;2;809;0;0.01;1.17335;0.00000;1.17365;0;0;0;-0.99;18.27;;;
2025.07.23 19:05:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17304;1.17306;2;809;0;0.01;1.17335;0.00000;1.17365;0;1;0;-0.99;18.27;;;
2025.07.23 19:10:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17368;1.17370;2;0;0;0.01;1.17370;0.00000;0.00000;5;0;0;0.00;19.11;;;EURUSD-Euro Scalper-0
2025.07.23 19:10:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17368;1.17370;2;812;0;0.01;1.17370;0.00000;0.00000;5;1;0;-0.04;19.11;;;EURUSD-Euro Scalper-0
2025.07.23 19:10:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17368;1.17370;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.04;19.11;;;vwap=1.17370; basket_tp=1.17400
2025.07.23 19:10:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17368;1.17370;2;812;0;0.01;1.17370;0.00000;1.17400;0;0;0;-0.04;19.11;;;
2025.07.23 19:10:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17368;1.17370;2;812;0;0.01;1.17370;0.00000;1.17400;0;1;0;-0.04;19.11;;;
2025.07.23 19:20:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17378;1.17380;2;0;1;0.01;1.17378;0.00000;0.00000;5;0;0;0.00;19.39;;;EURUSD-Euro Scalper-0
2025.07.23 19:20:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17378;1.17380;2;813;1;0.01;1.17378;0.00000;0.00000;5;1;0;-0.04;19.39;;;EURUSD-Euro Scalper-0
2025.07.23 19:20:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17378;1.17380;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.04;19.39;;;vwap=1.17378; basket_tp=1.17348
2025.07.23 19:20:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17378;1.17380;2;813;1;0.01;1.17378;0.00000;1.17348;0;0;0;-0.04;19.39;;;
2025.07.23 19:20:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17378;1.17380;2;813;1;0.01;1.17378;0.00000;1.17348;0;1;0;-0.04;19.39;;;
2025.07.23 19:30:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17333;1.17335;2;0;1;0.01;1.17333;0.00000;0.00000;5;0;0;0.00;19.67;;;EURUSD-Euro Scalper-0
2025.07.23 19:30:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17333;1.17335;2;814;1;0.01;1.17333;0.00000;0.00000;5;1;0;-0.04;19.67;;;EURUSD-Euro Scalper-0
2025.07.23 19:30:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17333;1.17335;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.04;19.67;;;vwap=1.17333; basket_tp=1.17303
2025.07.23 19:30:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17333;1.17335;2;814;1;0.01;1.17333;0.00000;1.17303;0;0;0;-0.04;19.67;;;
2025.07.23 19:30:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17333;1.17335;2;814;1;0.01;1.17333;0.00000;1.17303;0;1;0;-0.04;19.67;;;
2025.07.23 19:35:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17238;1.17240;2;0;1;0.01;1.17238;0.00000;0.00000;5;0;0;0.00;19.95;;;EURUSD-Euro Scalper-0
2025.07.23 19:35:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17238;1.17240;2;815;1;0.01;1.17238;0.00000;0.00000;5;1;0;-0.04;19.95;;;EURUSD-Euro Scalper-0
2025.07.23 19:35:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17238;1.17240;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.04;19.95;;;vwap=1.17238; basket_tp=1.17208
2025.07.23 19:35:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17238;1.17240;2;815;1;0.01;1.17238;0.00000;1.17208;0;0;0;-0.04;19.95;;;
